index,Time,Open,High,Low,Close,avg_pr,vol_en,instrument_token,instrument_name,vol,oi_avg,depth_buy,depth_sell,db_vs_v,ds_vs_v,oi_vs_v,b_vs_s_net,med_pr,med_pr_ch,med_pr_pct,vol_act,vol_act_ch,vol_act_pct,ha_close,ha_high,ha_open,vi_diff,dcli,dchi,wa_jaw,wa_teeth,wa_lips,ema,kama,p_sar,aroondown,aroonup,st_10_3,st_11_2,st_7_3,Action
0,5/19/2020 9:20,2407,2407,2406,2406,2406.125,2737,55699207,Copper,2,3241,147,212,73.5,106,1620.5,184,2406,,0,,,,2406.5,2407,0,0,2406,2407,2406.5,2406.5,2406.5,,,,,,0,0,0,BULL
1,5/19/2020 9:21,2406,2406,2404,2404,2404.895833,2893,55699207,Copper,155,3263,180,221,1.161290323,1.425806452,21.0516129,125.96875,2405,-0.04156276,0,156,,,2405,2406,2406.5,-0.065413898,2404,2407,2405.72,2405.72,2405.7,,,2407,,,0,0,0,BULL
2,5/19/2020 9:22,2404,2410,2404,2410,2407.105263,3007,55699207,Copper,113,3282,180,201,1.592920354,1.778761062,29.04424779,227.1973684,2407,0.083160083,-3.000831601,114,-26.92307692,,2407,2410,2405,0.01928201,2404,2410,2406.181237,2406.181237,2406.192308,,,2404,,,0,0,0,BULL
3,5/19/2020 9:23,2412,2416,2411,2416,2413.041667,3338,55699207,Copper,219,3402,156,223,0.712328767,1.01826484,15.53424658,236.6666667,2413,0.249272954,1.99750727,331,190.3508772,-8.070175439,2413.75,2416,2407,0.207390665,2404,2416,2408.236102,2408.236102,2408.399705,,,2404,,,0,0,0,BULL
4,5/19/2020 9:24,2416,2418,2414,2418,2415.978723,3506,55699207,Copper,163,3440,172,212,1.055214724,1.300613497,21.10429448,289.787234,2416,0.124326564,-0.501243266,168,-49.24471299,-1.258704944,2416.5,2418,2414,0.274806039,2404,2418,2410.046839,2410.046839,2410.350135,,,2404,,,0,0,0,BULL
5,5/19/2020 9:25,2417,2418,2410,2410,2414.938144,3760,55699207,Copper,252,3504,179,182,0.71031746,0.722222222,13.9047619,257.1340206,2416,0,-1,254,51.19047619,-2.039512124,2413.75,2418,2417,0.186081628,2404,2418,2410.844189,2410.844189,2411.177837,,,2404.756,,,0,0,0,BULL
6,5/19/2020 9:26,2409,2410,2408,2408,2409.230769,3919,55699207,Copper,129,3533,128,153,0.992248062,1.186046512,27.3875969,64.15384615,2409,-0.289735099,0,159,-37.4015748,-1.730635415,2408.75,2410,2413.5,0.041746789,2404,2418,2410.513482,2410.513482,2410.729578,,,2405.471176,,,0,0,0,BULL
7,5/19/2020 9:27,2409,2415,2407,2413,2412.011111,4023,55699207,Copper,103,3555,132,161,1.281553398,1.563106796,34.51456311,118.9888889,2413,0.166044002,-1.573089011,104,-34.59119497,-0.075140682,2411,2415,2408.5,0.087651403,2404,2418,2410.592622,2410.592622,2410.781075,,,2406.147732,,,0,0,2421.285714,FLAT
8,5/19/2020 9:28,2413,2413,2411,2411,2411.957895,4065,55699207,Copper,41,3569,141,172,3.43902439,4.195121951,87.04878049,146.1052632,2412,-0.041442188,-1.249585578,42,-59.61538462,0.723426573,2412,2413,2411,0.109941371,2404,2418,2410.803476,2410.803476,2410.998945,,,2406.787755,,,0,0,2421.285714,FLAT
9,5/19/2020 9:29,2412,2416,2411,2415,2413.673913,4160,55699207,Copper,94,3583,142,174,1.510638298,1.85106383,38.11702128,173.25,2413,0.04145937,-2.000414594,95,126.1904762,-3.116743472,2413.5,2416,2412,0.138150466,2404,2418,2411.180022,2411.180022,2411.423184,,,2407,,,0,0,2421.285714,FLAT
